Date,Price
2017-06-18,360.57
2017-06-19,371.87
2017-06-20,374.86
2017-06-21,371.88
2017-06-22,370.87
2017-06-23,364.46
2017-06-24,364.46
2017-06-25,364.46
2017-06-26,364.46
2017-06-27,368.94
2017-06-28,365.95
2017-06-29,364.46
2017-06-30,363.05
2017-07-01,363.05
2017-07-02,363.05
2017-07-03,364.73
2017-07-04,372.88
2017-07-05,372.95
2017-07-06,373.85
2017-07-07,373.12
2017-07-08,373.12
2017-07-09,373.12
2017-07-10,374.78
2017-07-11,373.02
2017-07-12,373.6
2017-07-13,374.92
2017-07-14,376.09
2017-07-15,376.09
2017-07-16,376.09
2017-07-17,381.41
2017-07-18,382.22
2017-07-19,380.92
2017-07-20,380.25
2017-07-21,380.42
2017-07-22,380.42
2017-07-23,380.42
2017-07-24,385.46
2017-07-25,389.29
2017-07-26,391.65
2017-07-27,392.89
2017-07-28,395.37
2017-07-29,395.37
2017-07-30,395.37
2017-07-31,395.56
2017-08-01,402.75
2017-08-02,406.85
2017-08-03,406.95
2017-08-04,405.67
2017-08-05,405.67
2017-08-06,405.67
2017-08-07,414.15
2017-08-08,414.93
2017-08-09,405.75
2017-08-10,389.54
2017-08-11,382.27
2017-08-12,382.27
2017-08-13,382.27
2017-08-14,396.16
2017-08-15,396.16
2017-08-16,398.31
2017-08-17,394.02
2017-08-18,385.48
2017-08-19,385.48
2017-08-20,385.48
2017-08-21,381.64
2017-08-22,375.53
2017-08-23,382.33
2017-08-24,380.53
2017-08-25,380.53
2017-08-26,380.53
2017-08-27,380.53
2017-08-28,387.29
2017-08-29,382.81
2017-08-30,388.8
2017-08-31,391.27
2017-09-01,394.28
2017-09-02,394.28
2017-09-03,394.28
2017-09-04,385.05
2017-09-05,386.44
2017-09-06,386.4
2017-09-07,388.44
2017-09-08,386.03
2017-09-09,386.03
2017-09-10,386.03
2017-09-11,387.19
2017-09-12,387.28
2017-09-13,391.52
2017-09-14,397.1
2017-09-15,406.29
2017-09-16,406.29
2017-09-17,406.29
2017-09-18,404.83
2017-09-19,404.4
2017-09-20,408.94
2017-09-21,410.54
2017-09-22,404.5
2017-09-23,404.5
2017-09-24,404.5
2017-09-25,388.7
2017-09-26,391.56
2017-09-27,377.71
2017-09-28,371.51
2017-09-29,376.06
2017-09-30,376.06
2017-10-01,376.06
2017-10-02,376.06
2017-10-03,381.31
2017-10-04,385.51
2017-10-05,386.65
2017-10-06,389.99
2017-10-07,389.99
2017-10-08,389.99
2017-10-09,388.75
2017-10-10,394.91
2017-10-11,397.7
2017-10-12,400.92
2017-10-13,403.61
2017-10-14,403.61
2017-10-15,403.61
2017-10-16,406.82
2017-10-17,406.72
2017-10-18,406.55
2017-10-19,402.53
2017-10-20,402.53
2017-10-21,402.53
2017-10-22,402.53
2017-10-23,407.66
2017-10-24,407.11
2017-10-25,410.17
2017-10-26,414.46
2017-10-27,429.21
2017-10-28,429.21
2017-10-29,429.21
2017-10-30,430.16
2017-10-31,428.69
2017-11-01,433.39
2017-11-02,436.41
2017-11-03,437.94
2017-11-04,437.94
2017-11-05,437.94
2017-11-06,438.57
2017-11-07,433.8
2017-11-08,433.98
2017-11-09,433.42
2017-11-10,429.81
2017-11-11,429.81
2017-11-12,429.81
2017-11-13,421.42
2017-11-14,411.09
2017-11-15,408.37
2017-11-16,398.76
2017-11-17,400.25
2017-11-18,400.25
2017-11-19,400.25
2017-11-20,400.62
2017-11-21,403.22
2017-11-22,410.74
2017-11-23,407.61
2017-11-24,404.79
2017-11-25,404.79
2017-11-26,404.79
2017-11-27,399.24
2017-11-28,399.39
2017-11-29,401.68
2017-11-30,399.22
2017-12-01,395.84
2017-12-02,395.84
2017-12-03,395.84
2017-12-04,385.94
2017-12-05,386.39
2017-12-06,386.41
2017-12-07,389.06
2017-12-08,394.3
