Date,Price
2017-06-18,675.66
2017-06-19,670.55
2017-06-20,666.88
2017-06-21,655.32
2017-06-22,644.16
2017-06-23,633.56
2017-06-24,633.56
2017-06-25,633.56
2017-06-26,633.56
2017-06-27,605.78
2017-06-28,618.89
2017-06-29,626.07
2017-06-30,634.25
2017-07-01,634.25
2017-07-02,634.25
2017-07-03,647.04
2017-07-04,660.19
2017-07-05,661.01
2017-07-06,660.31
2017-07-07,665.02
2017-07-08,665.02
2017-07-09,665.02
2017-07-10,667.26
2017-07-11,674.24
2017-07-12,683.15
2017-07-13,459.27
2017-07-14,460.61
2017-07-15,460.61
2017-07-16,460.61
2017-07-17,464.54
2017-07-18,469.95
2017-07-19,469.01
2017-07-20,467.78
2017-07-21,465.22
2017-07-22,465.22
2017-07-23,465.22
2017-07-24,468.06
2017-07-25,466.41
2017-07-26,470.3
2017-07-27,474.9
2017-07-28,475.04
2017-07-29,475.04
2017-07-30,475.04
2017-07-31,472.72
2017-08-01,482.02
2017-08-02,486.39
2017-08-03,491.16
2017-08-04,505.01
2017-08-05,505.01
2017-08-06,505.01
2017-08-07,522.89
2017-08-08,512.59
2017-08-09,502.01
2017-08-10,482.32
2017-08-11,483.37
2017-08-12,483.37
2017-08-13,483.37
2017-08-14,474.08
2017-08-15,474.08
2017-08-16,481.14
2017-08-17,494.38
2017-08-18,503.56
2017-08-19,503.56
2017-08-20,503.56
2017-08-21,505.42
2017-08-22,506.41
2017-08-23,509.48
2017-08-24,508.82
2017-08-25,508.82
2017-08-26,508.82
2017-08-27,508.82
2017-08-28,506.06
2017-08-29,511.1
2017-08-30,518.3
2017-08-31,527.98
2017-09-01,531.29
2017-09-02,531.29
2017-09-03,531.29
2017-09-04,538.15
2017-09-05,534.51
2017-09-06,533.24
2017-09-07,526.52
2017-09-08,516.87
2017-09-09,516.87
2017-09-10,516.87
2017-09-11,515.63
2017-09-12,527.27
2017-09-13,510.59
2017-09-14,502.03
2017-09-15,497.07
2017-09-16,497.07
2017-09-17,497.07
2017-09-18,498.93
2017-09-19,504.06
2017-09-20,495.24
2017-09-21,495.77
2017-09-22,490.27
2017-09-23,490.27
2017-09-24,490.27
2017-09-25,484.8
2017-09-26,470.83
2017-09-27,468.93
2017-09-28,458.53
2017-09-29,469.97
2017-09-30,469.97
2017-10-01,469.97
2017-10-02,469.97
2017-10-03,474.33
2017-10-04,484.23
2017-10-05,480.1
2017-10-06,484.14
2017-10-07,484.14
2017-10-08,484.14
2017-10-09,483.82
2017-10-10,480.61
2017-10-11,488.81
2017-10-12,490.44
2017-10-13,489.21
2017-10-14,489.21
2017-10-15,489.21
2017-10-16,497.36
2017-10-17,509.06
2017-10-18,513.99
2017-10-19,510.34
2017-10-20,510.34
2017-10-21,510.34
2017-10-22,510.34
2017-10-23,512.68
2017-10-24,511.72
2017-10-25,509.14
2017-10-26,531.88
2017-10-27,532.19
2017-10-28,532.19
2017-10-29,532.19
2017-10-30,540.96
2017-10-31,537.87
2017-11-01,538.94
2017-11-02,541.3
2017-11-03,535.25
2017-11-04,535.25
2017-11-05,535.25
2017-11-06,523.92
2017-11-07,517.32
2017-11-08,516.45
2017-11-09,520.1
2017-11-10,511.68
2017-11-11,511.68
2017-11-12,511.68
2017-11-13,500.4
2017-11-14,491.48
2017-11-15,505.18
2017-11-16,498.72
2017-11-17,502.07
2017-11-18,502.07
2017-11-19,502.07
2017-11-20,502.45
2017-11-21,509.49
2017-11-22,507.63
2017-11-23,506.45
2017-11-24,509.25
2017-11-25,509.25
2017-11-26,509.25
2017-11-27,505.57
2017-11-28,504.82
2017-11-29,509.52
2017-11-30,506.03
2017-12-01,501.15
2017-12-02,501.15
2017-12-03,501.15
2017-12-04,495.75
2017-12-05,501.25
2017-12-06,495.08
2017-12-07,496.95
2017-12-08,508.0
2017-12-09,508.0
2017-12-10,508.0
2017-12-11,516.61
2017-12-12,502.53
2017-12-13,507.09
2017-12-14,511.0
2017-12-15,521.52
2017-12-16,521.52
2017-12-17,521.52
2017-12-18,521.08
2017-12-19,531.77
2017-12-20,531.15
2017-12-21,535.7
2017-12-22,533.73
2017-12-23,533.73
2017-12-24,533.73
2017-12-25,533.73
2017-12-26,535.92
2017-12-27,536.7
2017-12-28,528.64
2017-12-29,520.88
2017-12-30,520.88
2017-12-31,520.88
2018-01-01,512.53
2018-01-02,501.04
2018-01-03,498.08
2018-01-04,492.12
2018-01-05,487.77
2018-01-06,487.77
2018-01-07,487.77
2018-01-08,496.2
2018-01-09,496.32
2018-01-10,495.27
2018-01-11,490.91
2018-01-12,490.52
2018-01-13,490.52
2018-01-14,490.52
2018-01-15,489.44
2018-01-16,478.95
2018-01-17,478.68
2018-01-18,474.51
2018-01-19,472.6
2018-01-20,472.6
2018-01-21,472.6
2018-01-22,469.16
2018-01-23,476.05
2018-01-24,478.05
2018-01-25,479.69
2018-01-26,479.69
2018-01-27,479.69
2018-01-28,479.69
2018-01-29,473.18
2018-01-30,483.87
2018-01-31,489.49
2018-02-01,488.5
2018-02-02,485.4
2018-02-03,485.4
2018-02-04,485.4
2018-02-05,478.86
2018-02-06,469.57
2018-02-07,475.84
2018-02-08,487.26
2018-02-09,473.81
2018-02-10,473.81
2018-02-11,473.81
2018-02-12,466.76
2018-02-13,466.76
2018-02-14,462.24
2018-02-15,469.75
2018-02-16,468.89
2018-02-17,468.89
2018-02-18,468.89
2018-02-19,458.93
2018-02-20,454.38
2018-02-21,445.08
2018-02-22,428.54
2018-02-23,428.57
2018-02-24,428.57
2018-02-25,428.57
2018-02-26,437.03
2018-02-27,428.75
2018-02-28,428.01
2018-03-01,439.75
2018-03-02,439.75
2018-03-03,439.75
2018-03-04,439.75
2018-03-05,434.85
2018-03-06,446.44
2018-03-07,444.34
2018-03-08,439.64
2018-03-09,441.19
2018-03-10,441.19
2018-03-11,441.19
2018-03-12,442.17
2018-03-13,462.17
2018-03-14,461.21
2018-03-15,460.53
2018-03-16,448.95
2018-03-17,448.95
2018-03-18,448.95
2018-03-19,431.72
2018-03-20,430.24
2018-03-21,430.09
2018-03-22,418.16
2018-03-23,411.9
2018-03-24,411.9
2018-03-25,411.9
2018-03-26,409.91
2018-03-27,420.52
2018-03-28,425.8
2018-03-29,425.8
2018-03-30,425.8
2018-03-31,425.8
2018-04-01,425.8
2018-04-02,424.97
2018-04-03,427.23
2018-04-04,418.72
2018-04-05,420.76
2018-04-06,431.2
2018-04-07,431.2
2018-04-08,431.2
2018-04-09,447.96
2018-04-10,448.39
2018-04-11,422.99
2018-04-12,412.03
2018-04-13,410.35
2018-04-14,410.35
2018-04-15,410.35
2018-04-16,406.12
2018-04-17,408.17
2018-04-18,405.19
2018-04-19,382.56
2018-04-20,375.36
2018-04-21,375.36
2018-04-22,375.36
2018-04-23,379.19
2018-04-24,383.46
2018-04-25,387.42
2018-04-26,381.91
2018-04-27,391.13
2018-04-28,391.13
2018-04-29,391.13
2018-04-30,389.32
2018-05-01,389.32
2018-05-02,383.99
2018-05-03,377.27
2018-05-04,379.31
2018-05-05,379.31
2018-05-06,379.31
2018-05-07,382.72
2018-05-08,390.69
2018-05-09,382.1
2018-05-10,388.06
2018-05-11,397.87
2018-05-12,397.87
2018-05-13,397.87
2018-05-14,404.45
2018-05-15,407.93
2018-05-16,399.58
2018-05-17,389.64
2018-05-18,386.87
2018-05-19,386.87
2018-05-20,386.87
2018-05-21,391.83
2018-05-22,394.73
2018-05-23,376.47
2018-05-24,367.34
2018-05-25,376.33
2018-05-26,376.33
2018-05-27,376.33
2018-05-28,400.88
2018-05-29,405.79
2018-05-30,400.4
2018-05-31,402.23
2018-06-01,408.6
2018-06-02,408.6
2018-06-03,408.6
2018-06-04,407.62
2018-06-05,406.91
2018-06-06,408.34
2018-06-07,414.55
2018-06-08,408.07
2018-06-09,408.07
2018-06-10,408.07
2018-06-11,415.31
2018-06-12,416.82
2018-06-13,418.43
2018-06-14,415.94
2018-06-15,413.31
2018-06-16,413.31
2018-06-17,413.31
2018-06-18,422.61
2018-06-19,412.11
2018-06-20,410.18
2018-06-21,414.66
2018-06-22,425.81
2018-06-23,425.81
2018-06-24,425.81
2018-06-25,413.6
