Date,Price
2017-06-18,285.39
2017-06-19,288.16
2017-06-20,288.98
2017-06-21,290.88
2017-06-22,293.83
2017-06-23,290.43
2017-06-24,290.43
2017-06-25,290.43
2017-06-26,290.43
2017-06-27,280.39
2017-06-28,275.86
2017-06-29,274.43
2017-06-30,272.33
2017-07-01,272.33
2017-07-02,272.33
2017-07-03,274.64
2017-07-04,273.86
2017-07-05,274.43
2017-07-06,280.59
2017-07-07,280.97
2017-07-08,280.97
2017-07-09,280.97
2017-07-10,285.67
2017-07-11,286.61
2017-07-12,285.79
2017-07-13,288.46
2017-07-14,291.28
2017-07-15,291.28
2017-07-16,291.28
2017-07-17,291.74
2017-07-18,294.09
2017-07-19,292.68
2017-07-20,292.03
2017-07-21,290.4
2017-07-22,290.4
2017-07-23,290.4
2017-07-24,294.01
2017-07-25,296.04
2017-07-26,297.1
2017-07-27,298.33
2017-07-28,298.69
2017-07-29,298.69
2017-07-30,298.69
2017-07-31,308.92
2017-08-01,310.59
2017-08-02,308.69
2017-08-03,302.15
2017-08-04,302.92
2017-08-05,302.92
2017-08-06,302.92
2017-08-07,308.97
2017-08-08,304.86
2017-08-09,304.34
2017-08-10,298.6
2017-08-11,287.26
2017-08-12,287.26
2017-08-13,287.26
2017-08-14,279.29
2017-08-15,279.29
2017-08-16,279.1
2017-08-17,281.85
2017-08-18,277.71
2017-08-19,277.71
2017-08-20,277.71
2017-08-21,277.31
2017-08-22,273.69
2017-08-23,276.96
2017-08-24,279.39
2017-08-25,279.39
2017-08-26,279.39
2017-08-27,279.39
2017-08-28,280.12
2017-08-29,278.35
2017-08-30,277.8
2017-08-31,276.43
2017-09-01,278.5
2017-09-02,278.5
2017-09-03,278.5
2017-09-04,277.9
2017-09-05,277.38
2017-09-06,275.27
2017-09-07,274.88
2017-09-08,272.77
2017-09-09,272.77
2017-09-10,272.77
2017-09-11,270.88
2017-09-12,273.53
2017-09-13,274.99
2017-09-14,274.15
2017-09-15,271.89
2017-09-16,271.89
2017-09-17,271.89
2017-09-18,271.37
2017-09-19,268.27
2017-09-20,270.21
2017-09-21,268.71
2017-09-22,263.68
2017-09-23,263.68
2017-09-24,263.68
2017-09-25,257.73
2017-09-26,258.04
2017-09-27,253.11
2017-09-28,252.07
2017-09-29,254.15
2017-09-30,254.15
2017-10-01,254.15
2017-10-02,254.15
2017-10-03,252.02
2017-10-04,252.62
2017-10-05,251.02
2017-10-06,255.82
2017-10-07,255.82
2017-10-08,255.82
2017-10-09,256.69
2017-10-10,256.85
2017-10-11,253.6
2017-10-12,250.53
2017-10-13,253.25
2017-10-14,253.25
2017-10-15,253.25
2017-10-16,252.0
2017-10-17,252.36
2017-10-18,245.12
2017-10-19,243.59
2017-10-20,243.59
2017-10-21,243.59
2017-10-22,243.59
2017-10-23,244.98
2017-10-24,252.11
2017-10-25,310.73
2017-10-26,330.14
2017-10-27,315.48
2017-10-28,315.48
2017-10-29,315.48
2017-10-30,315.25
2017-10-31,307.68
2017-11-01,316.86
2017-11-02,317.72
2017-11-03,319.18
2017-11-04,319.18
2017-11-05,319.18
2017-11-06,326.72
2017-11-07,322.81
2017-11-08,313.02
2017-11-09,313.1
2017-11-10,326.34
2017-11-11,326.34
2017-11-12,326.34
2017-11-13,338.44
2017-11-14,330.05
2017-11-15,327.04
2017-11-16,329.22
2017-11-17,340.78
2017-11-18,340.78
2017-11-19,340.78
2017-11-20,333.99
2017-11-21,332.14
2017-11-22,334.19
2017-11-23,334.41
2017-11-24,334.43
2017-11-25,334.43
2017-11-26,334.43
2017-11-27,332.25
2017-11-28,333.41
2017-11-29,331.35
2017-11-30,322.59
2017-12-01,317.75
2017-12-02,317.75
2017-12-03,317.75
2017-12-04,313.63
2017-12-05,314.7
2017-12-06,314.2
2017-12-07,315.75
2017-12-08,314.65
2017-12-09,314.65
2017-12-10,314.65
2017-12-11,317.56
2017-12-12,317.6
2017-12-13,316.11
2017-12-14,312.71
2017-12-15,314.57
2017-12-16,314.57
2017-12-17,314.57
2017-12-18,316.92
2017-12-19,320.1
2017-12-20,317.75
2017-12-21,316.89
2017-12-22,320.59
2017-12-23,320.59
2017-12-24,320.59
2017-12-25,320.59
2017-12-26,317.39
2017-12-27,316.25
2017-12-28,310.67
2017-12-29,310.39
2017-12-30,310.39
2017-12-31,310.39
2018-01-01,309.08
2018-01-02,304.0
2018-01-03,304.32
2018-01-04,307.63
2018-01-05,308.05
2018-01-06,308.05
2018-01-07,308.05
2018-01-08,306.58
2018-01-09,305.88
2018-01-10,302.25
2018-01-11,301.97
2018-01-12,302.54
2018-01-13,302.54
2018-01-14,302.54
2018-01-15,303.54
2018-01-16,299.15
2018-01-17,302.54
2018-01-18,309.57
2018-01-19,307.18
2018-01-20,307.18
2018-01-21,307.18
2018-01-22,306.55
2018-01-23,313.81
2018-01-24,323.97
2018-01-25,317.75
2018-01-26,317.75
2018-01-27,317.75
2018-01-28,317.75
2018-01-29,313.59
2018-01-30,314.86
2018-01-31,312.32
2018-02-01,310.67
2018-02-02,300.07
2018-02-03,300.07
2018-02-04,300.07
2018-02-05,295.64
2018-02-06,289.73
2018-02-07,293.38
2018-02-08,298.6
2018-02-09,297.71
2018-02-10,297.71
2018-02-11,297.71
2018-02-12,289.3
2018-02-13,289.3
2018-02-14,280.99
2018-02-15,279.14
2018-02-16,273.95
2018-02-17,273.95
2018-02-18,273.95
2018-02-19,263.87
2018-02-20,269.54
2018-02-21,271.18
2018-02-22,272.38
2018-02-23,275.6
2018-02-24,275.6
2018-02-25,275.6
2018-02-26,275.75
2018-02-27,269.55
2018-02-28,266.14
2018-03-01,264.62
2018-03-02,264.62
2018-03-03,264.62
2018-03-04,264.62
2018-03-05,262.51
2018-03-06,261.43
2018-03-07,248.97
2018-03-08,251.48
2018-03-09,253.89
2018-03-10,253.89
2018-03-11,253.89
2018-03-12,250.26
2018-03-13,257.1
2018-03-14,253.76
2018-03-15,255.63
2018-03-16,253.17
2018-03-17,253.17
2018-03-18,253.17
2018-03-19,248.8
2018-03-20,249.43
2018-03-21,251.2
2018-03-22,243.47
2018-03-23,234.77
2018-03-24,234.77
2018-03-25,234.77
2018-03-26,241.69
2018-03-27,252.05
2018-03-28,251.61
2018-03-29,251.61
2018-03-30,251.61
2018-03-31,251.61
2018-04-01,251.61
2018-04-02,247.21
2018-04-03,250.35
2018-04-04,249.33
2018-04-05,255.0
